Feature name,Standard gene name,CDS length
YNL227C,JJJ1,1773.0
YNL209W,SSB2,1842.0
YNL186W,UBP10,2379.0
YNL182C,IPI3,1668.0
YNL178W,RPS3,723.0
YNL174W,-,573.0
YNL175C,NOP13,1212.0
YNL163C,RIA1,3333.0
YNL162W,RPL42A,321.0
YNL153C,GIM3,390.0
YNL151C,RPC31,756.0
YNL141W,AAH1,1044.0
YNL132W,KRE33,3171.0
YNL124W,NAF1,1479.0
YNL119W,NCS2,1482.0
YNL120C,-,486.0
YNL113W,RPC19,429.0
YNL114C,-,372.0
YNL110C,NOP15,663.0
YNL102W,POL1,4407.0
YNL096C,RPS7B,573.0
YNL075W,IMP4,873.0
YNL069C,RPL16B,597.0
YNL067W,RPL9B,576.0
YNL066W,SUN4,1263.0
YNL062C,GCD10,1437.0
YNL061W,NOP2,1857.0
YNL022C,RCM1,1473.0
YNL010W,-,726.0
YNL002C,RLP7,969.0
YNL001W,DOM34,1161.0
YNR003C,RPC34,954.0
YNR009W,NRM1,750.0
YNR024W,MPP6,561.0
YNR043W,MVD1,1191.0
YNR053C,NOG2,1461.0
YNR054C,ESF2,951.0
YOL127W,RPL25,429.0
YOL124C,TRM11,1302.0
YOL121C,RPS19A,435.0
YOL120C,RPL18A,561.0
YOL097C,WRS1,1299.0
YOL077C,BRX1,876.0
YOL041C,NOP12,1380.0
YOL040C,RPS15,429.0
YOL039W,RPP2A,321.0
YOL022C,TSR4,1227.0
YOR001W,RRP6,2202.0
YOR004W,UTP23,765.0
YOR021C,SFM1,642.0
YOR063W,RPL3,1164.0
YOR095C,RKI1,777.0
YOR096W,RPS7A,573.0
YOR146W,-,306.0
YOR145C,PNO1,825.0
YOR167C,RPS28A,204.0
YOR168W,GLN4,2430.0
YOR169C,-,465.0
YOR182C,RPS30B,192.0
YOR188W,MSB1,3414.0
YOR206W,NOC2,2133.0
YOR209C,NPT1,1290.0
YOR210W,RPB10,213.0
YOR217W,RFC1,2586.0
YOR224C,RPB8,441.0
YOR233W,KIN4,2403.0
YOR234C,RPL33B,324.0
YOR243C,PUS7,2031.0
YOR252W,TMA16,537.0
YOR253W,NAT5,531.0
YOR260W,GCD1,1737.0
YOR271C,FSF1,984.0
YOR272W,YTM1,1383.0
YOR276W,CAF20,486.0
YOR277C,-,309.0
YOR287C,RRP36,903.0
YOR293W,RPS10A,318.0
YOR294W,RRS1,612.0
YOR309C,-,381.0
YOR310C,NOP58,1536.0
YOR312C,RPL20B,519.0
YOR361C,PRT1,2292.0
YOR369C,RPS12,432.0
YPL273W,SAM4,978.0
YPL266W,DIM1,957.0
YPL263C,KEL3,1956.0
YPL245W,-,1365.0
YPL237W,SUI3,858.0
YPL238C,-,390.0
YPL235W,RVB2,1416.0
YPL226W,NEW1,3591.0
YPL220W,RPL1A,654.0
YPL217C,BMS1,3552.0
YPL212C,PUS1,1635.0
YPL211W,NIP7,546.0
YPL207W,TYW1,2433.0
YPL198W,RPL7B,735.0
YPL183C,RTT10,3042.0
YPL160W,CDC60,3273.0
YPL146C,NOP53,1368.0
YPL143W,RPL33A,324.0
YPL142C,-,318.0
YPL090C,RPS6A,711.0
YPL086C,ELP3,1674.0
YPL081W,RPS9A,594.0
YPL079W,RPL21B,483.0
YPL043W,NOP4,2058.0
YPL044C,-,549.0
YPL037C,EGD1,474.0
YPR010C,RPA135,3612.0
YPR016C,TIF6,738.0
YPR033C,HTS1,1641.0
YPR034W,ARP7,1434.0
YPR041W,TIF5,1218.0
YPR043W,RPL43A,279.0
YPR044C,OPI11,354.0
YPR060C,ARO7,771.0
YPR074C,TKL1,2043.0
YPR080W,TEF1,1377.0
YPR102C,RPL11A,525.0
YPR110C,RPC40,1008.0
YPR112C,MRD1,2664.0
YPR118W,MRI1,1236.0
YPR132W,RPS23B,438.0
YPR137W,RRP9,1722.0
YPR136C,-,513.0
YPR143W,RRP15,753.0
YPR142C,-,564.0
YPR144C,NOC4,1659.0
YPR145W,ASN1,1719.0
YPR163C,TIF3,1311.0
YPR169W,JIP5,1479.0
YPR187W,RPO26,468.0
YPR190C,RPC82,1965.0
YBL092W,RPL32,393.0
YBL087C,RPL23A,414.0
YBL077W,-,432.0
YBL072C,RPS8A,603.0
YBL068W,PRS4,981.0
YBL054W,TOD6,1578.0
YBL039C,URA7,1740.0
YBL035C,POL12,2118.0
YBL028C,-,321.0
YBL027W,RPL19B,570.0
YBL024W,NCL1,2055.0
YBR025C,OLA1,1185.0
YBR030W,RKM3,1659.0
YBR031W,RPL4A,1089.0
YBR034C,HMT1,1047.0
YBR048W,RPS11B,471.0
YBR061C,TRM7,933.0
YBR079C,RPG1,2895.0
YBR084W,MIS1,2928.0
YBR084C-A,RPL19A,570.0
YBR089W,-,600.0
YBR106W,PHO88,567.0
YBR118W,TEF2,1377.0
YBR121C,GRS1,2004.0
YBR142W,MAK5,2322.0
YBR143C,SUP45,1314.0
YBR154C,RPB5,648.0
YBR155W,CNS1,1158.0
YBR181C,RPS6B,711.0
YBR189W,RPS9B,588.0
YBR191W,RPL21A,483.0
YBR238C,-,2196.0
YBR246W,RRT2,1164.0
YBR247C,ENP1,1452.0
YBR249C,ARO4,1113.0
YBR252W,DUT1,444.0
YBR267W,REI1,1182.0
YBR266C,SLM6,453.0
YBR283C,SSH1,1473.0
YCL059C,KRR1,951.0
YCL054W,SPB1,2526.0
YCL045C,EMC1,2283.0
YCL037C,SRO9,1305.0
YCL031C,RRP7,894.0
YCR016W,-,873.0
YCR031C,RPS14A,414.0
YCR034W,ELO2,1044.0
YCR035C,RRP43,1185.0
YCR053W,THR4,1545.0
YCR057C,PWP2,2772.0
YCR072C,RSA4,1548.0
YDL201W,TRM8,861.0
YDL191W,RPL35A,363.0
YDL167C,NRP1,2160.0
YDL153C,SAS10,1833.0
YDL150W,RPC53,1269.0
YDL151C,BUD30,582.0
YDL143W,CCT4,1587.0
YDL136W,RPL35B,363.0
YDL111C,RRP42,798.0
YDL084W,SUB2,1341.0
YDL083C,RPS16B,432.0
YDL082W,RPL13A,600.0
YDL081C,RPP1A,321.0
YDL075W,RPL31A,342.0
YDL062W,-,426.0
YDL063C,SYO1,1863.0
YDL061C,RPS29B,171.0
YDL060W,TSR1,2367.0
YDL051W,LHP1,828.0
YDL050C,-,372.0
YDL031W,DBP10,2988.0
YDR012W,RPL4B,1089.0
YDR023W,SES1,1389.0
YDR025W,RPS11A,471.0
YDR037W,KRS1,1776.0
YDR064W,RPS13,456.0
YDR083W,RRP8,1179.0
YDR087C,RRP1,837.0
YDR091C,RLI1,1827.0
YDR097C,MSH6,3729.0
YDR101C,ARX1,1782.0
YDR120C,TRM1,1713.0
YDR152W,GIR2,798.0
YDR161W,ACL4,1164.0
YDR165W,TRM82,1335.0
YDR172W,SUP35,2058.0
YDR184C,ATC1,885.0
YDR190C,RVB1,1392.0
YDR211W,GCD6,2139.0
YDR233C,RTN1,888.0
YDR280W,RRP45,918.0
YDR300C,PRO1,1287.0
YDR312W,SSF2,1362.0
YDR321W,ASP1,1146.0
YDR324C,UTP4,2331.0
YDR339C,FCF1,570.0
YDR341C,-,1824.0
YDR346C,SVF1,1446.0
YDR361C,BCP1,852.0
YDR365C,ESF1,1887.0
YDR382W,RPP2B,333.0
YDR385W,EFT2,2529.0
YDR398W,UTP5,1932.0
YDR412W,RRP17,708.0
YDR413C,-,576.0
YDR418W,RPL12B,498.0
YDR417C,-,372.0
YDR429C,TIF35,825.0
YDR440W,DOT1,1749.0
YDR447C,RPS17B,411.0
YDR449C,UTP6,1323.0
YDR450W,RPS18A,441.0
YDR454C,GUK1,564.0
YDR465C,RMT2,1239.0
YDR471W,RPL27B,411.0
YDR496C,PUF6,1971.0
YDR500C,RPL37B,267.0
YEL054C,RPL12A,498.0
YEL042W,GDA1,1557.0
YEL040W,UTR2,1404.0
YEL026W,SNU13,381.0
YER006W,NUG1,1563.0
YER009W,NTF2,378.0
YER025W,GCD11,1584.0
YER036C,ARB1,1833.0
YER043C,SAH1,1350.0
YER049W,TPA1,1935.0
YER056C-A,RPL34A,366.0
YER070W,RNR1,2667.0
YER074W,RPS24A,408.0
YER082C,UTP7,1665.0
YER102W,RPS8B,603.0
YER110C,KAP123,3342.0
YER117W,RPL23B,414.0
YER118C,SHO1,1104.0
YER126C,NSA2,786.0
YER127W,LCP5,1074.0
YER131W,RPS26B,360.0
YER165W,PAB1,1734.0
YFL045C,SEC53,765.0
YFL023W,BUD27,2391.0
YFL022C,FRS2,1512.0
YFL002C,SPB4,1821.0
YFR001W,LOC1,615.0
YFR031C-A,RPL2A,765.0
YGL225W,VRG4,1014.0
YGL213C,SKI8,1194.0
YGL189C,RPS26A,360.0
YGL171W,ROK1,1695.0
YGL169W,SUA5,1281.0
YGL148W,ARO2,1131.0
YGL147C,RPL9A,576.0
YGL135W,RPL1B,654.0
YGL123W,RPS2,765.0
YGL120C,PRP43,2304.0
YGL111W,NSA1,1392.0
YGL103W,RPL28,450.0
YGL102C,-,429.0
YGL099W,LSG1,1923.0
YGL097W,SRM1,1449.0
YGL078C,DBP3,1572.0
YGL076C,RPL7A,735.0
YGL070C,RPB9,369.0
YGL031C,RPL24A,468.0
YGL030W,RPL30,318.0
YGL029W,CGR1,363.0
YGL008C,PMA1,2757.0
YGR027C,RPS25A,327.0
YGR034W,RPL26B,384.0
YGR054W,-,1929.0
YGR078C,PAC10,600.0
YGR081C,SLX9,633.0
YGR083C,GCD2,1956.0
YGR085C,RPL11B,525.0
YGR094W,VAS1,3315.0
YGR103W,NOP7,1818.0
YGR118W,RPS23A,438.0
YGR123C,PPT1,1542.0
YGR124W,ASN2,1719.0
YGR128C,UTP8,2142.0
YGR145W,ENP2,2124.0
YGR148C,RPL24B,468.0
YGR151C,-,336.0
YGR152C,RSR1,819.0
YGR158C,MTR3,753.0
YGR160W,-,612.0
YGR162W,TIF4631,2859.0
YGR173W,RBG2,1107.0
YGR185C,TYS1,1185.0
YGR187C,HGH1,1185.0
YGR195W,SKI6,741.0
YGR200C,ELP2,2367.0
YGR214W,RPS0A,759.0
YGR228W,-,345.0
YGR229C,SMI1,1518.0
YGR245C,SDA1,2304.0
YGR251W,NOP19,591.0
YGR265W,-,411.0
YGR264C,MES1,2256.0
YGR271C-A,EFG1,702.0
YGR280C,PXR1,816.0
YGR283C,-,1026.0
YGR285C,ZUO1,1302.0
YHL039W,EFM1,1758.0
YHL033C,RPL8A,771.0
YHL013C,OTU2,924.0
YHL011C,PRS3,963.0
YHL001W,RPL14B,417.0
YHR010W,RPL27A,411.0
YHR013C,ARD1,717.0
YHR019C,DED81,1665.0
YHR020W,-,2067.0
YHR021C,RPS27B,249.0
YHR025W,THR1,1074.0
YHR026W,VMA16,642.0
YHR042W,NCP1,2076.0
YHR052W,CIC1,1131.0
YHR064C,SSZ1,1617.0
YHR065C,RRP3,1506.0
YHR066W,SSF1,1362.0
YHR068W,DYS1,1164.0
YHR088W,RPF1,888.0
YHR089C,GAR1,618.0
YHR128W,FUR1,651.0
YHR133C,NSG1,876.0
YHR141C,RPL42B,321.0
YHR143W-A,RPC10,213.0
YHR144C,DCD1,939.0
YHR148W,IMP3,552.0
YHR169W,DBP8,1296.0
YHR170W,NMD3,1557.0
YHR193C,EGD2,525.0
YHR196W,UTP9,1728.0
YHR197W,RIX1,2292.0
YHR203C,RPS4B,786.0
YHR216W,IMD2,1572.0
YIL148W,RPL40A,387.0
YIL133C,RPL16A,600.0
YIL127C,RRT14,621.0
YIL110W,HPM1,1134.0
YIL104C,SHQ1,1524.0
YIL096C,BMT5,1011.0
YIL079C,AIR1,1083.0
YIL078W,THS1,2205.0
YIL052C,RPL34B,366.0
YIL021W,RPB3,957.0
YIL020C,HIS6,786.0
YIL019W,FAF1,1041.0
YIL018W,RPL2B,765.0
YIR012W,SQT1,1296.0
YIR026C,YVH1,1095.0
