Feature name,Standard gene name,5'UTR length
YNL301C,RPL18B,34.0
YNL292W,PUS4,1.0
YNL256W,FOL1,86.0
YNL255C,GIS2,14.0
YNL248C,RPA49,40.0
YNL247W,-,17.0
YNL209W,SSB2,24.0
YNL186W,UBP10,236.0
YNL182C,IPI3,59.0
YNL178W,RPS3,20.0
YNL163C,RIA1,61.0
YNL162W,RPL42A,22.0
YNL153C,GIM3,24.0
YNL151C,RPC31,49.0
YNL141W,AAH1,56.0
YNL132W,KRE33,92.0
YNL124W,NAF1,81.0
YNL110C,NOP15,64.0
YNL102W,POL1,26.0
YNL096C,RPS7B,41.0
YNL075W,IMP4,79.0
YNL069C,RPL16B,6.0
YNL067W,RPL9B,23.0
YNL066W,SUN4,359.0
YNL061W,NOP2,42.0
YNL022C,RCM1,10.0
YNL010W,-,40.0
YNL002C,RLP7,29.0
YNL001W,DOM34,64.0
YNR003C,RPC34,26.0
YNR009W,NRM1,147.0
YNR024W,MPP6,77.0
YNR043W,MVD1,14.0
YNR053C,NOG2,32.0
YNR054C,ESF2,24.0
YOL127W,RPL25,13.0
YOL124C,TRM11,33.0
YOL121C,RPS19A,48.0
YOL120C,RPL18A,19.0
YOL097C,WRS1,26.0
YOL077C,BRX1,46.0
YOL041C,NOP12,48.0
YOL040C,RPS15,33.0
YOL039W,RPP2A,97.0
YOL022C,TSR4,18.0
YOR001W,RRP6,15.0
YOR004W,UTP23,50.0
YOR021C,SFM1,20.0
YOR063W,RPL3,24.0
YOR095C,RKI1,58.0
YOR096W,RPS7A,30.0
YOR167C,RPS28A,13.0
YOR168W,GLN4,30.0
YOR182C,RPS30B,15.0
YOR188W,MSB1,21.0
YOR206W,NOC2,30.0
YOR209C,NPT1,149.0
YOR210W,RPB10,32.0
YOR217W,RFC1,73.0
YOR224C,RPB8,23.0
YOR234C,RPL33B,20.0
YOR243C,PUS7,27.0
YOR252W,TMA16,33.0
YOR253W,NAT5,19.0
YOR260W,GCD1,52.0
YOR271C,FSF1,70.0
YOR272W,YTM1,48.0
YOR276W,CAF20,41.0
YOR277C,-,154.0
YOR287C,RRP36,20.0
YOR293W,RPS10A,33.0
YOR294W,RRS1,47.0
YOR310C,NOP58,22.0
YOR312C,RPL20B,14.0
YOR369C,RPS12,69.0
YPL273W,SAM4,106.0
YPL266W,DIM1,51.0
YPL263C,KEL3,8.0
YPL245W,-,54.0
YPL235W,RVB2,94.0
YPL226W,NEW1,60.0
YPL220W,RPL1A,65.0
YPL217C,BMS1,55.0
YPL212C,PUS1,39.0
YPL211W,NIP7,33.0
YPL207W,TYW1,69.0
YPL198W,RPL7B,29.0
YPL183C,RTT10,37.0
YPL160W,CDC60,51.0
YPL146C,NOP53,28.0
YPL143W,RPL33A,20.0
YPL090C,RPS6A,31.0
YPL086C,ELP3,26.0
YPL081W,RPS9A,56.0
YPL079W,RPL21B,27.0
YPL037C,EGD1,30.0
YPR010C,RPA135,52.0
YPR033C,HTS1,2.0
YPR034W,ARP7,64.0
YPR041W,TIF5,74.0
YPR043W,RPL43A,23.0
YPR060C,ARO7,63.0
YPR074C,TKL1,100.0
YPR080W,TEF1,33.0
YPR102C,RPL11A,26.0
YPR110C,RPC40,8.0
YPR112C,MRD1,39.0
YPR118W,MRI1,41.0
YPR132W,RPS23B,16.0
YPR143W,RRP15,27.0
YPR144C,NOC4,36.0
YPR145W,ASN1,55.0
YPR163C,TIF3,92.0
YPR169W,JIP5,57.0
YPR187W,RPO26,23.0
YPR190C,RPC82,43.0
YBL092W,RPL32,334.0
YBL087C,RPL23A,20.0
YBL072C,RPS8A,315.0
YBL068W,PRS4,54.0
YBL054W,TOD6,101.0
YBL039C,URA7,55.0
YBL035C,POL12,187.0
YBL028C,-,33.0
YBL027W,RPL19B,23.0
YBL024W,NCL1,112.0
YBR025C,OLA1,39.0
YBR030W,RKM3,64.0
YBR031W,RPL4A,169.0
YBR034C,HMT1,19.0
YBR048W,RPS11B,28.0
YBR061C,TRM7,55.0
YBR079C,RPG1,26.0
YBR084W,MIS1,70.0
YBR084C-A,RPL19A,131.0
YBR106W,PHO88,45.0
YBR118W,TEF2,14.0
YBR121C,GRS1,81.0
YBR142W,MAK5,43.0
YBR143C,SUP45,21.0
YBR154C,RPB5,111.0
YBR155W,CNS1,49.0
YBR181C,RPS6B,28.0
YBR189W,RPS9B,23.0
YBR238C,-,124.0
YBR246W,RRT2,37.0
YBR247C,ENP1,4.0
YBR249C,ARO4,137.0
YBR252W,DUT1,14.0
YBR267W,REI1,6.0
YBR283C,SSH1,148.0
YCL059C,KRR1,34.0
YCL054W,SPB1,18.0
YCL045C,EMC1,42.0
YCL037C,SRO9,58.0
YCL031C,RRP7,33.0
YCR016W,-,17.0
YCR031C,RPS14A,22.0
YCR034W,ELO2,27.0
YCR035C,RRP43,18.0
YCR057C,PWP2,127.0
YCR072C,RSA4,53.0
YDL201W,TRM8,57.0
YDL191W,RPL35A,49.0
YDL167C,NRP1,44.0
YDL143W,CCT4,41.0
YDL136W,RPL35B,28.0
YDL084W,SUB2,156.0
YDL083C,RPS16B,20.0
YDL082W,RPL13A,26.0
YDL081C,RPP1A,47.0
YDL075W,RPL31A,21.0
YDL063C,SYO1,103.0
YDL061C,RPS29B,445.0
YDL060W,TSR1,42.0
YDL051W,LHP1,30.0
YDL031W,DBP10,49.0
YDR012W,RPL4B,35.0
YDR023W,SES1,21.0
YDR025W,RPS11A,16.0
YDR037W,KRS1,71.0
YDR064W,RPS13,21.0
YDR083W,RRP8,114.0
YDR091C,RLI1,74.0
YDR097C,MSH6,92.0
YDR101C,ARX1,28.0
YDR120C,TRM1,13.0
YDR152W,GIR2,31.0
YDR161W,ACL4,37.0
YDR165W,TRM82,187.0
YDR172W,SUP35,37.0
YDR184C,ATC1,31.0
YDR190C,RVB1,49.0
YDR211W,GCD6,57.0
YDR233C,RTN1,27.0
YDR280W,RRP45,150.0
YDR300C,PRO1,143.0
YDR321W,ASP1,27.0
YDR339C,FCF1,28.0
YDR341C,-,64.0
YDR346C,SVF1,158.0
YDR361C,BCP1,33.0
YDR365C,ESF1,134.0
YDR382W,RPP2B,66.0
YDR385W,EFT2,28.0
YDR398W,UTP5,162.0
YDR412W,RRP17,36.0
YDR429C,TIF35,18.0
YDR440W,DOT1,76.0
YDR447C,RPS17B,18.0
YDR449C,UTP6,50.0
YDR450W,RPS18A,23.0
YDR454C,GUK1,38.0
YDR465C,RMT2,45.0
YDR471W,RPL27B,20.0
YDR496C,PUF6,38.0
YDR500C,RPL37B,8.0
YEL042W,GDA1,150.0
YEL040W,UTR2,38.0
YEL026W,SNU13,105.0
YER006W,NUG1,22.0
YER009W,NTF2,16.0
YER025W,GCD11,45.0
YER036C,ARB1,23.0
YER043C,SAH1,17.0
YER049W,TPA1,98.0
YER056C-A,RPL34A,19.0
YER070W,RNR1,39.0
YER074W,RPS24A,28.0
YER082C,UTP7,74.0
YER102W,RPS8B,368.0
YER110C,KAP123,36.0
YER117W,RPL23B,31.0
YER118C,SHO1,196.0
YER126C,NSA2,26.0
YER127W,LCP5,20.0
YER131W,RPS26B,362.0
YER165W,PAB1,133.0
YFL045C,SEC53,87.0
YFL023W,BUD27,74.0
YFL022C,FRS2,76.0
YFL002C,SPB4,13.0
YFR001W,LOC1,43.0
YFR031C-A,RPL2A,26.0
YGL225W,VRG4,42.0
YGL213C,SKI8,21.0
YGL189C,RPS26A,397.0
YGL171W,ROK1,29.0
YGL169W,SUA5,90.0
YGL148W,ARO2,29.0
YGL147C,RPL9A,18.0
YGL135W,RPL1B,65.0
YGL123W,RPS2,99.0
YGL120C,PRP43,54.0
YGL111W,NSA1,19.0
YGL103W,RPL28,18.0
YGL102C,-,77.0
YGL099W,LSG1,40.0
YGL097W,SRM1,58.0
YGL078C,DBP3,77.0
YGL076C,RPL7A,24.0
YGL070C,RPB9,22.0
YGL031C,RPL24A,490.0
YGL030W,RPL30,46.0
YGL029W,CGR1,49.0
YGL008C,PMA1,237.0
YGR027C,RPS25A,366.0
YGR034W,RPL26B,29.0
YGR054W,-,147.0
YGR078C,PAC10,29.0
YGR081C,SLX9,18.0
YGR083C,GCD2,64.0
YGR085C,RPL11B,27.0
YGR094W,VAS1,82.0
YGR103W,NOP7,19.0
YGR118W,RPS23A,24.0
YGR123C,PPT1,33.0
YGR124W,ASN2,17.0
YGR128C,UTP8,18.0
YGR145W,ENP2,48.0
YGR148C,RPL24B,420.0
YGR152C,RSR1,111.0
YGR158C,MTR3,54.0
YGR162W,TIF4631,50.0
YGR173W,RBG2,44.0
YGR185C,TYS1,33.0
YGR187C,HGH1,100.0
YGR195W,SKI6,104.0
YGR200C,ELP2,61.0
YGR214W,RPS0A,21.0
YGR229C,SMI1,260.0
YGR245C,SDA1,106.0
YGR251W,NOP19,137.0
YGR264C,MES1,53.0
YGR271C-A,EFG1,49.0
YGR280C,PXR1,27.0
YGR283C,-,25.0
YGR285C,ZUO1,14.0
YHL033C,RPL8A,9.0
YHL013C,OTU2,22.0
YHL011C,PRS3,94.0
YHL001W,RPL14B,17.0
YHR010W,RPL27A,24.0
YHR013C,ARD1,43.0
YHR019C,DED81,43.0
YHR020W,-,108.0
YHR021C,RPS27B,41.0
YHR025W,THR1,27.0
YHR026W,VMA16,119.0
YHR042W,NCP1,32.0
YHR052W,CIC1,27.0
YHR064C,SSZ1,31.0
YHR065C,RRP3,28.0
YHR066W,SSF1,33.0
YHR068W,DYS1,74.0
YHR088W,RPF1,30.0
YHR089C,GAR1,54.0
YHR128W,FUR1,60.0
YHR133C,NSG1,35.0
YHR141C,RPL42B,24.0
YHR143W-A,RPC10,39.0
YHR144C,DCD1,35.0
YHR148W,IMP3,14.0
YHR169W,DBP8,130.0
YHR170W,NMD3,52.0
YHR193C,EGD2,18.0
YHR196W,UTP9,56.0
YHR197W,RIX1,6.0
YHR203C,RPS4B,27.0
YHR216W,IMD2,196.0
YIL148W,RPL40A,14.0
YIL133C,RPL16A,38.0
YIL127C,RRT14,28.0
YIL110W,HPM1,39.0
YIL104C,SHQ1,55.0
YIL096C,BMT5,31.0
YIL079C,AIR1,12.0
YIL078W,THS1,38.0
YIL052C,RPL34B,31.0
YIL021W,RPB3,64.0
YIL020C,HIS6,53.0
YIL019W,FAF1,28.0
YIL018W,RPL2B,26.0
YIR012W,SQT1,11.0
YIR026C,YVH1,28.0
